!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_DAPE		0.4899	dimensionless	
equilibrium constant	R_DHDPRy		0.04539	dimensionless	
equilibrium constant	R_HSK		68100000	dimensionless	
equilibrium constant	R_SDPTA		53.01	dimensionless	
equilibrium constant	R_THRS		548400	dimensionless	
equilibrium constant	R_HSST		589.1	dimensionless	
equilibrium constant	R_PPNDH		1.995e+17	dimensionless	
equilibrium constant	R_DTMPK		2.089	dimensionless	
equilibrium constant	R_NDPK1		1.725	dimensionless	
equilibrium constant	R_TRDR		0.03972	dimensionless	
equilibrium constant	R_DDPA		8.068e+08	dimensionless	
equilibrium constant	R_MALS		746500	dimensionless	
equilibrium constant	R_NADTRHD		0.04619	dimensionless	
equilibrium constant	R_G3PD2		0.1065	dimensionless	
equilibrium constant	R_GMPS2		0.4157	dimensionless	
equilibrium constant	R_AACPS3		4367	dimensionless	
equilibrium constant	R_P5CR		0.4002	dimensionless	
equilibrium constant	R_G5SADs		71930000	dimensionless	
equilibrium constant	R_AKGDH		3868	dimensionless	
equilibrium constant	R_ATPPRT		1.85e+09	dimensionless	
equilibrium constant	R_HISTD		2.273e+09	dimensionless	
equilibrium constant	R_DHDPS		1.6e+20	dimensionless	
equilibrium constant	R_IGPDH		3.618e+08	dimensionless	
equilibrium constant	R_PRPPS		4575	dimensionless	
equilibrium constant	R_PRATPP		3.454e+08	dimensionless	
equilibrium constant	R_GLUN		19.6	dimensionless	
equilibrium constant	R_PRMICI		0.1591	dimensionless	
equilibrium constant	R_GLUPRT		5.068e+13	dimensionless	
equilibrium constant	R_SERAT		16.76	dimensionless	
equilibrium constant	R_CYSS		1.835e+11	dimensionless	
equilibrium constant	R_BPNT		20.6	dimensionless	
equilibrium constant	R_PAPSR		1.028e+16	dimensionless	
equilibrium constant	R_ASPK		0.0006199	dimensionless	
equilibrium constant	R_ASAD		29100	dimensionless	
equilibrium constant	R_DAPDC		89.22	dimensionless	
equilibrium constant	R_OCBT		66530000	dimensionless	
equilibrium constant	R_GARFT		70.99	dimensionless	
equilibrium constant	R_PHETA1		0.5625	dimensionless	
equilibrium constant	R_PPND		4.222e+08	dimensionless	
equilibrium constant	R_PRAMPC		4.59e+08	dimensionless	
equilibrium constant	R_GLYCK2		67840	dimensionless	
equilibrium constant	R_ACOTA		2.83	dimensionless	
equilibrium constant	R_SULR		6.797e+11	dimensionless	
equilibrium constant	R_PRAGSr		1059000	dimensionless	
equilibrium constant	R_PRFGS		3722	dimensionless	
equilibrium constant	R_PSERT		13.41	dimensionless	
equilibrium constant	R_AIRC2		6.054e+12	dimensionless	
equilibrium constant	R_GAPD		0.05503	dimensionless	
