!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
Michaelis constant	R_SHSL1	M_h_c	10000	mM	compou
Michaelis constant	R_SULabcpp	M_h_c	0.07786	mM	compou
Michaelis constant	R_AKGt2rpp	M_h_c	0.01914	mM	compou
Michaelis constant	R_XYLt2pp	M_h_c	0.003343	mM	compou
Michaelis constant	R_PYRt2rpp	M_h_c	0.007429	mM	compou
Michaelis constant	R_THD2pp	M_h_c	0.006763	mM	compou
Michaelis constant	R_ATPS4rpp	M_h_c	0.0004724	mM	compou
Michaelis constant	R_FUMt2_2pp	M_h_c	0.008479	mM	compou
Michaelis constant	R_CYTBDpp	M_h_c	0.0004935	mM	compou
Michaelis constant	R_CYTBD2pp	M_h_c	7.217e-06	mM	compou
Michaelis constant	R_ACt2rpp	M_h_c	0.01691	mM	compou
Michaelis constant	R_METS	M_h_c	0.04313	mM	compou
Michaelis constant	R_PRASCSi	M_h_c	12.99	mM	compou
Michaelis constant	R_MTHFC	M_h_c	0.02666	mM	compou
Michaelis constant	R_MALt2_2pp	M_h_c	0.012	mM	compou
Michaelis constant	R_RIBabcpp	M_h_c	0.01185	mM	compou
Michaelis constant	R_GLYCAt2rpp	M_h_c	0.004511	mM	compou
Michaelis constant	R_GLNabcpp	M_h_c	0.05902	mM	compou
Michaelis constant	R_GLUt2rpp	M_h_c	0.02106	mM	compou
Michaelis constant	R_GNK	M_h_c	0.5779	mM	compou
Michaelis constant	R_GLUDy	M_h_c	0.004991	mM	compou
Michaelis constant	R_GLCNt2rpp	M_h_c	0.004514	mM	compou
Michaelis constant	R_ATPM	M_h_c	0.1259	mM	compou
Michaelis constant	R_DHFR	M_h_c	0.3794	mM	compou
Michaelis constant	R_SHKK	M_h_c	1.159	mM	compou
Michaelis constant	R_GLUSy	M_h_c	0.009047	mM	compou
Michaelis constant	R_OMCDC	M_h_c	0.007688	mM	compou
Michaelis constant	R_IG3PS	M_h_c	0.5203	mM	compou
Michaelis constant	R_MTHFR2	M_h_c	0.1785	mM	compou
Michaelis constant	R_DUTPDP	M_h_c	0.1593	mM	compou
Michaelis constant	R_NTP5	M_h_c	0.601	mM	compou
Michaelis constant	R_FORt2pp	M_h_c	0.003499	mM	compou
Michaelis constant	R_GLNS	M_h_c	0.4824	mM	compou
Michaelis constant	R_ACGS	M_h_c	1.471	mM	compou
Michaelis constant	R_PRAIS	M_h_c	0.233	mM	compou
Michaelis constant	R_LDH_D	M_h_c	0.01484	mM	compou
Michaelis constant	R_KAS15	M_h_c	0.009384	mM	compou
Michaelis constant	R_3OAS161	M_h_c	0.0182	mM	compou
Michaelis constant	R_EAR161x	M_h_c	0.02008	mM	compou
Michaelis constant	R_PGCD	M_h_c	0.1258	mM	compou
Michaelis constant	R_3OAS141	M_h_c	0.01814	mM	compou
Michaelis constant	R_3OAR121	M_h_c	0.02517	mM	compou
Michaelis constant	R_D_LACt2pp	M_h_c	0.005427	mM	compou
Michaelis constant	R_PFK	M_h_c	10.04	mM	compou
Michaelis constant	R_CYTBO3_4pp	M_h_c	0.0004191	mM	compou
Michaelis constant	R_EAR141x	M_h_c	0.02033	mM	compou
Michaelis constant	R_EAR181x	M_h_c	0.02384	mM	compou
Michaelis constant	R_3OAR120	M_h_c	0.01267	mM	compou
Michaelis constant	R_EAR180x	M_h_c	0.01338	mM	compou
Michaelis constant	R_SO4t2pp	M_h_c	0.004136	mM	compou
Michaelis constant	R_EAR180y	M_h_c	0.02531	mM	compou
Michaelis constant	R_ASNS1	M_h_c	1.544	mM	compou
Michaelis constant	R_EAR80y	M_h_c	0.02345	mM	compou
Michaelis constant	R_EAR120y	M_h_c	0.02222	mM	compou
Michaelis constant	R_3OAR181	M_h_c	0.02988	mM	compou
Michaelis constant	R_EAR140x	M_h_c	0.01556	mM	compou
Michaelis constant	R_3OAS181	M_h_c	0.01971	mM	compou
Michaelis constant	R_3OAS140	M_h_c	0.01238	mM	compou
Michaelis constant	R_3OAR140	M_h_c	0.01314	mM	compou
Michaelis constant	R_EAR160y	M_h_c	0.02323	mM	compou
Michaelis constant	R_3OAR160	M_h_c	0.01419	mM	compou
Michaelis constant	R_EAR100y	M_h_c	0.02199	mM	compou
Michaelis constant	R_3OAR141	M_h_c	0.02523	mM	compou
Michaelis constant	R_3OAR161	M_h_c	0.02535	mM	compou
Michaelis constant	R_EAR121x	M_h_c	0.02026	mM	compou
Michaelis constant	R_3OAS60	M_h_c	0.01142	mM	compou
Michaelis constant	R_3OAS160	M_h_c	0.01174	mM	compou
Michaelis constant	R_3OAR60	M_h_c	0.01186	mM	compou
Michaelis constant	R_3OAR80	M_h_c	0.01162	mM	compou
Michaelis constant	R_EAR100x	M_h_c	0.01419	mM	compou
Michaelis constant	R_EAR120x	M_h_c	0.01434	mM	compou
Michaelis constant	R_EAR160x	M_h_c	0.01546	mM	compou
Michaelis constant	R_EAR140y	M_h_c	0.02192	mM	compou
Michaelis constant	R_3OAS121	M_h_c	0.0181	mM	compou
Michaelis constant	R_3OAS80	M_h_c	0.01118	mM	compou
Michaelis constant	R_3OAS100	M_h_c	0.0112	mM	compou
Michaelis constant	R_3OAS120	M_h_c	0.01114	mM	compou
Michaelis constant	R_3OAR40	M_h_c	0.01655	mM	compou
Michaelis constant	R_3OAR100	M_h_c	0.01167	mM	compou
Michaelis constant	R_EAR40x	M_h_c	0.01602	mM	compou
Michaelis constant	R_EAR60y	M_h_c	0.02361	mM	compou
Michaelis constant	R_EAR60x	M_h_c	0.01226	mM	compou
Michaelis constant	R_EAR80x	M_h_c	0.01217	mM	compou
Michaelis constant	R_3OAR180	M_h_c	0.02056	mM	compou
Michaelis constant	R_3OAS180	M_h_c	0.01637	mM	compou
Michaelis constant	R_NADH16pp	M_h_c	1.658e-05	mM	compou
Michaelis constant	R_FA160ACPHi	M_h_c	0.05783	mM	compou
Michaelis constant	R_FA120ACPHi	M_h_c	0.04911	mM	compou
Michaelis constant	R_FA80ACPHi	M_h_c	0.03521	mM	compou
Michaelis constant	R_FA140ACPHi	M_h_c	0.05166	mM	compou
Michaelis constant	R_FA100ACPHi	M_h_c	0.06359	mM	compou
Michaelis constant	R_ACPPAT161	M_h_c	0.01913	mM	compou
Michaelis constant	R_ACPPAT180	M_h_c	0.01078	mM	compou
Michaelis constant	R_RNTR1c2	M_h_c	0.008361	mM	compou
Michaelis constant	R_RNTR2c2	M_h_c	0.01049	mM	compou
Michaelis constant	R_FLDR2	M_h_c	0.03156	mM	compou
Michaelis constant	R_ACPPAT181	M_h_c	0.01934	mM	compou
Michaelis constant	R_APH161	M_h_c	0.03768	mM	compou
Michaelis constant	R_APH180	M_h_c	0.05633	mM	compou
Michaelis constant	R_APH181	M_h_c	0.03768	mM	compou
Michaelis constant	R_PIt2rpp	M_h_c	0.008112	mM	compou
Michaelis constant	R_RBIO	M_h_c	0.001912	mM	compou
Michaelis constant	R_RBK	M_rib__D_c	0.06798	mM	compou
Michaelis constant	R_RIBabcpp	M_rib__D_c	0.01185	mM	compou
Michaelis constant	R_GTHOr	M_gthrd_c	0.02238	mM	compou
Michaelis constant	R_GRXR	M_gthrd_c	0.003755	mM	compou
Michaelis constant	R_KAS14	M_actACP_c	0.00727	mM	compou
Michaelis constant	R_KAS15	M_actACP_c	0.01066	mM	compou
Michaelis constant	R_3OAR40	M_actACP_c	0.01655	mM	compou
Michaelis constant	R_APH161	M_hdcea_c	0.01941	mM	
Michaelis constant	R_PTAr	M_actp_c	0.938	mM	compou
Michaelis constant	R_ACKr	M_actp_c	0.00196	mM	compou
Michaelis constant	R_PYRt2rpp	M_pyr_p	0.01346	mM	compou
Michaelis constant	R_PYRtex	M_pyr_p	0.007059	mM	compou
Michaelis constant	R_CYSTL	M_cyst__L_c	1.001	mM	compou
Michaelis constant	R_SHSL1	M_cyst__L_c	0.7608	mM	compou
Michaelis constant	R_NDPK6	M_dutp_c	0.002764	mM	compou
Michaelis constant	R_DUTPDP	M_dutp_c	0.0006279	mM	compou
Michaelis constant	R_AACPS9	M_octa_c	0.01298	mM	compou
Michaelis constant	R_FA80ACPHi	M_octa_c	0.03521	mM	compou
Michaelis constant	R_H2Otex	M_h2o_p	0.03721	mM	compou
Michaelis constant	R_H2Otpp	M_h2o_p	0.002673	mM	compou
Michaelis constant	R_GLYK	M_glyc3p_c	0.104	mM	compou
Michaelis constant	R_G3PT	M_glyc3p_c	0.005963	mM	compou
Michaelis constant	R_G3PD2	M_glyc3p_c	0.0317	mM	compou
Michaelis constant	R_RBIO	M_glyc3p_c	0.0523	mM	compou
Michaelis constant	R_ACHBS	M_2ahbut_c	0.1809	mM	compou
Michaelis constant	R_KARA2	M_2ahbut_c	3.318e-05	mM	compou
Michaelis constant	R_TRPS2	M_ser__L_c	0.0002122	mM	compou
Michaelis constant	R_GHMT2r	M_ser__L_c	0.3158	mM	compou
Michaelis constant	R_SERAT	M_ser__L_c	0.00864	mM	compou
Michaelis constant	R_PSP_L	M_ser__L_c	0.06722	mM	compou
Michaelis constant	R_RBIO	M_ser__L_c	0.0523	mM	compou
Michaelis constant	R_3HAD80	M_toct2eACP_c	0.01414	mM	compou
Michaelis constant	R_EAR80y	M_toct2eACP_c	0.02345	mM	compou
Michaelis constant	R_EAR80x	M_toct2eACP_c	0.01217	mM	compou
Michaelis constant	R_OMPDC	M_ump_c	0.006352	mM	compou
Michaelis constant	R_UMPK	M_ump_c	0.005983	mM	compou
Michaelis constant	R_RBIO	M_ump_c	0.001912	mM	compou
Michaelis constant	R_ACPPAT161	M_hdceap_c	0.005227	mM	
Michaelis constant	R_APH161	M_hdceap_c	0.005152	mM	
Michaelis constant	R_PGK	M_3pg_c	0.06211	mM	compou
Michaelis constant	R_PGCD	M_3pg_c	11.4	mM	compou
Michaelis constant	R_PGM	M_3pg_c	0.0246	mM	compou
Michaelis constant	R_CTPS2	M_ctp_c	0.1511	mM	compou
Michaelis constant	R_NTP5	M_ctp_c	0.0001664	mM	compou
Michaelis constant	R_RBIO	M_ctp_c	0.0523	mM	compou
Michaelis constant	R_NDPK8	M_dadp_c	0.009766	mM	compou
Michaelis constant	R_RNDR1	M_dadp_c	0.453	mM	compou
Michaelis constant	R_RNDR1b	M_dadp_c	0.0142	mM	compou
Michaelis constant	R_XYLK	M_xu5p__D_c	10.17	mM	compou
Michaelis constant	R_RPE	M_xu5p__D_c	0.05128	mM	compou
Michaelis constant	R_TKT1	M_xu5p__D_c	0.05016	mM	compou
Michaelis constant	R_TKT2	M_xu5p__D_c	0.02671	mM	compou
Michaelis constant	R_DHDPS	M_aspsa_c	1.871e-05	mM	compou
Michaelis constant	R_ASAD	M_aspsa_c	0.02652	mM	compou
Michaelis constant	R_HSDy	M_aspsa_c	0.03406	mM	compou
Michaelis constant	R_3HAD60	M_the2eACP_c	0.01513	mM	compou
Michaelis constant	R_EAR60y	M_the2eACP_c	0.02361	mM	compou
Michaelis constant	R_EAR60x	M_the2eACP_c	0.01226	mM	compou
Michaelis constant	R_EAR161x	M_t3c9palmeACP_c	0.02008	mM	
Michaelis constant	R_3HAD161	M_t3c9palmeACP_c	0.01394	mM	
Michaelis constant	R_CS	M_accoa_c	0.02292	mM	compou
Michaelis constant	R_ACALD	M_accoa_c	0.003834	mM	compou
Michaelis constant	R_PFL	M_accoa_c	0.001082	mM	compou
Michaelis constant	R_PTAr	M_accoa_c	0.004308	mM	compou
Michaelis constant	R_ACCOAC	M_accoa_c	0.004826	mM	compou
Michaelis constant	R_MALS	M_accoa_c	0.001672	mM	compou
Michaelis constant	R_SERAT	M_accoa_c	0.223	mM	compou
Michaelis constant	R_IPPS	M_accoa_c	0.001099	mM	compou
Michaelis constant	R_ACOATA	M_accoa_c	0.002283	mM	compou
Michaelis constant	R_PDH	M_accoa_c	0.1657	mM	compou
Michaelis constant	R_ACGS	M_accoa_c	6.796e-05	mM	compou
Michaelis constant	R_KAS15	M_accoa_c	0.002188	mM	compou
Michaelis constant	R_RBIO	M_accoa_c	0.0523	mM	compou
Michaelis constant	R_ARGSL	M_arg__L_c	1.409	mM	compou
Michaelis constant	R_RBIO	M_arg__L_c	0.0523	mM	compou
Michaelis constant	R_SDPDS	M_26dap_LL_c	0.01606	mM	compou
Michaelis constant	R_DAPE	M_26dap_LL_c	0.01788	mM	compou
Michaelis constant	R_ASPTA	M_asp__L_c	7.212	mM	compou
Michaelis constant	R_ARGSS	M_asp__L_c	0.008873	mM	compou
Michaelis constant	R_ADSS	M_asp__L_c	0.8258	mM	compou
Michaelis constant	R_ASNS2	M_asp__L_c	0.000357	mM	compou
Michaelis constant	R_ASPCT	M_asp__L_c	13.04	mM	compou
Michaelis constant	R_ASPK	M_asp__L_c	1.369	mM	compou
Michaelis constant	R_PRASCSi	M_asp__L_c	0.000692	mM	compou
Michaelis constant	R_ASNS1	M_asp__L_c	4.177	mM	compou
Michaelis constant	R_RBIO	M_asp__L_c	0.0523	mM	compou
Michaelis constant	R_AGPR	M_acg5sa_c	0.2561	mM	compou
Michaelis constant	R_ACOTA	M_acg5sa_c	3.556	mM	compou
Michaelis constant	R_3OAS80	M_hexACP_c	0.01118	mM	
Michaelis constant	R_EAR60y	M_hexACP_c	0.004235	mM	
Michaelis constant	R_EAR60x	M_hexACP_c	0.008156	mM	
Michaelis constant	R_SHK3Dr	M_skm_c	0.002849	mM	compou
Michaelis constant	R_SHKK	M_skm_c	8.628e-05	mM	compou
Michaelis constant	R_IMPC	M_imp_c	5.903	mM	compou
Michaelis constant	R_IMPD	M_imp_c	0.001393	mM	compou
Michaelis constant	R_ADSS	M_imp_c	0.05658	mM	compou
Michaelis constant	R_O2tpp	M_o2_c	5.725e-05	mM	compou
Michaelis constant	R_CYTBDpp	M_o2_c	0.004713	mM	compou
Michaelis constant	R_CYTBD2pp	M_o2_c	0.001639	mM	compou
Michaelis constant	R_CYTBO3_4pp	M_o2_c	0.006727	mM	compou
Michaelis constant	R_APH181	M_ocdcea_c	0.01941	mM	compou
Michaelis constant	R_SUCCt2_2pp	M_h_p	0.01258	mM	compou
Michaelis constant	R_AKGt2rpp	M_h_p	0.005223	mM	compou
Michaelis constant	R_XYLt2pp	M_h_p	0.02991	mM	compou
Michaelis constant	R_Htex	M_h_p	1.995	mM	compou
Michaelis constant	R_PYRt2rpp	M_h_p	0.01346	mM	compou
Michaelis constant	R_THD2pp	M_h_p	0.01479	mM	compou
Michaelis constant	R_ATPS4rpp	M_h_p	0.5856	mM	compou
Michaelis constant	R_FUMt2_2pp	M_h_p	0.01179	mM	compou
Michaelis constant	R_CYTBDpp	M_h_p	0.2026	mM	compou
Michaelis constant	R_CYTBD2pp	M_h_p	13.86	mM	compou
Michaelis constant	R_ACt2rpp	M_h_p	0.005912	mM	compou
Michaelis constant	R_MALt2_2pp	M_h_p	0.008335	mM	compou
Michaelis constant	R_GLYCAt2rpp	M_h_p	0.02217	mM	compou
Michaelis constant	R_GLUt2rpp	M_h_p	0.004748	mM	compou
Michaelis constant	R_GLCNt2rpp	M_h_p	0.02215	mM	compou
Michaelis constant	R_FORt2pp	M_h_p	0.02858	mM	compou
Michaelis constant	R_D_LACt2pp	M_h_p	0.01843	mM	compou
Michaelis constant	R_CYTBO3_4pp	M_h_p	0.2386	mM	compou
Michaelis constant	R_SO4t2pp	M_h_p	0.02418	mM	compou
Michaelis constant	R_NADH16pp	M_h_p	1.217	mM	compou
Michaelis constant	R_PIt2rpp	M_h_p	0.01233	mM	compou
Michaelis constant	R_RBIO	M_h_p	0.0523	mM	compou
Michaelis constant	R_SUCCt2_2pp	M_succ_p	0.01122	mM	compou
Michaelis constant	R_SUCCtex	M_succ_p	0.04982	mM	compou
Michaelis constant	R_SUCCt1pp	M_succ_p	0.002008	mM	compou
Michaelis constant	R_PPNDH	M_phpyr_c	27.26	mM	compou
Michaelis constant	R_PHETA1	M_phpyr_c	0.01987	mM	compou
Michaelis constant	R_EX_fru_e	M_fru_e	0.02078	mM	compou
Michaelis constant	R_FRUtex	M_fru_e	0.01185	mM	compou
Michaelis constant	R_EX_pyr_e	M_pyr_e	0.01707	mM	compou
Michaelis constant	R_PYRtex	M_pyr_e	0.01417	mM	compou
Michaelis constant	R_METS	M_5mthf_c	0.002318	mM	compou
Michaelis constant	R_MTHFR2	M_5mthf_c	0.01283	mM	compou
Michaelis constant	R_ACALD	M_nad_c	0.007726	mM	compou
Michaelis constant	R_ME1	M_nad_c	0.00353	mM	compou
Michaelis constant	R_IMPD	M_nad_c	0.7696	mM	compou
Michaelis constant	R_IPMD	M_nad_c	0.06929	mM	compou
Michaelis constant	R_ALCD2x	M_nad_c	0.004885	mM	compou
Michaelis constant	R_MDH	M_nad_c	0.08763	mM	compou
Michaelis constant	R_GLYCL	M_nad_c	0.006358	mM	compou
Michaelis constant	R_NADTRHD	M_nad_c	0.01577	mM	compou
Michaelis constant	R_AKGDH	M_nad_c	0.002281	mM	compou
Michaelis constant	R_HISTD	M_nad_c	0.2281	mM	compou
Michaelis constant	R_PPND	M_nad_c	0.02466	mM	compou
Michaelis constant	R_GAPD	M_nad_c	0.005897	mM	compou
Michaelis constant	R_THD2pp	M_nad_c	0.006763	mM	compou
Michaelis constant	R_PDH	M_nad_c	0.0006034	mM	compou
Michaelis constant	R_MTHFR2	M_nad_c	0.002367	mM	compou
Michaelis constant	R_LDH_D	M_nad_c	0.006738	mM	compou
Michaelis constant	R_EAR161x	M_nad_c	0.004981	mM	compou
Michaelis constant	R_PGCD	M_nad_c	9.586e-05	mM	compou
Michaelis constant	R_EAR141x	M_nad_c	0.004918	mM	compou
Michaelis constant	R_EAR181x	M_nad_c	0.004195	mM	compou
Michaelis constant	R_EAR180x	M_nad_c	0.007474	mM	compou
Michaelis constant	R_EAR140x	M_nad_c	0.006427	mM	compou
Michaelis constant	R_EAR121x	M_nad_c	0.004935	mM	compou
Michaelis constant	R_EAR100x	M_nad_c	0.007045	mM	compou
Michaelis constant	R_EAR120x	M_nad_c	0.006973	mM	compou
Michaelis constant	R_EAR160x	M_nad_c	0.006467	mM	compou
Michaelis constant	R_EAR40x	M_nad_c	0.006241	mM	compou
Michaelis constant	R_EAR60x	M_nad_c	0.008156	mM	compou
Michaelis constant	R_EAR80x	M_nad_c	0.008214	mM	compou
Michaelis constant	R_NADH16pp	M_nad_c	0.04956	mM	compou
Michaelis constant	R_3OAS161	M_tdeACP_c	0.0182	mM	
Michaelis constant	R_EAR141x	M_tdeACP_c	0.004918	mM	
Michaelis constant	R_3OAR181	M_3ocvac11eACP_c	0.02988	mM	
Michaelis constant	R_3OAS181	M_3ocvac11eACP_c	0.005074	mM	
Michaelis constant	R_3OAR180	M_3hoctaACP_c	0.004863	mM	compou
Michaelis constant	R_3HAD180	M_3hoctaACP_c	0.007152	mM	compou
Michaelis constant	R_AACPS6	M_ocdca_c	0.005869	mM	compou
Michaelis constant	R_APH180	M_ocdca_c	0.02373	mM	compou
Michaelis constant	R_NDPK5	M_adp_c	0.01083	mM	compou
Michaelis constant	R_NDPK6	M_adp_c	0.002764	mM	compou
Michaelis constant	R_NDPK8	M_adp_c	0.01024	mM	compou
Michaelis constant	R_PPCK	M_adp_c	0.00355	mM	compou
Michaelis constant	R_XYLK	M_adp_c	10.17	mM	compou
Michaelis constant	R_RBK	M_adp_c	1.86	mM	compou
Michaelis constant	R_GLYK	M_adp_c	0.104	mM	compou
Michaelis constant	R_PYK	M_adp_c	0.01038	mM	compou
Michaelis constant	R_ACKr	M_adp_c	0.00196	mM	compou
Michaelis constant	R_PGK	M_adp_c	0.00161	mM	compou
Michaelis constant	R_RNDR1	M_adp_c	0.0002207	mM	compou
Michaelis constant	R_ACCOAC	M_adp_c	0.02072	mM	compou
Michaelis constant	R_UMPK	M_adp_c	0.01672	mM	compou
Michaelis constant	R_CTPS2	M_adp_c	0.1511	mM	compou
Michaelis constant	R_NDPK7	M_adp_c	0.007664	mM	compou
Michaelis constant	R_ADK1	M_adp_c	0.01581	mM	compou
Michaelis constant	R_NDPK2	M_adp_c	0.01487	mM	compou
Michaelis constant	R_NDPK4	M_adp_c	0.0102	mM	compou
Michaelis constant	R_HSK	M_adp_c	129.4	mM	compou
Michaelis constant	R_DTMPK	M_adp_c	0.01661	mM	compou
Michaelis constant	R_NDPK1	M_adp_c	0.02495	mM	compou
Michaelis constant	R_ASPK	M_adp_c	0.1277	mM	compou
Michaelis constant	R_GLYCK2	M_adp_c	0.09902	mM	compou
Michaelis constant	R_PRAGSr	M_adp_c	0.6045	mM	compou
Michaelis constant	R_PRFGS	M_adp_c	0.03226	mM	compou
Michaelis constant	R_AIRC2	M_adp_c	1.393	mM	compou
Michaelis constant	R_CBPS	M_adp_c	0.06235	mM	compou
Michaelis constant	R_GLU5K	M_adp_c	0.003372	mM	compou
Michaelis constant	R_ADSK	M_adp_c	0.07372	mM	compou
Michaelis constant	R_SULabcpp	M_adp_c	0.07786	mM	compou
Michaelis constant	R_ATPS4rpp	M_adp_c	0.004782	mM	compou
Michaelis constant	R_GK1	M_adp_c	0.01863	mM	compou
Michaelis constant	R_PRASCSi	M_adp_c	12.99	mM	compou
Michaelis constant	R_RNDR1b	M_adp_c	0.007041	mM	compou
Michaelis constant	R_RIBabcpp	M_adp_c	0.01185	mM	compou
Michaelis constant	R_GLNabcpp	M_adp_c	0.05902	mM	compou
Michaelis constant	R_ACGK	M_adp_c	0.05626	mM	compou
Michaelis constant	R_GNK	M_adp_c	0.5779	mM	compou
Michaelis constant	R_ATPM	M_adp_c	0.1259	mM	compou
Michaelis constant	R_SHKK	M_adp_c	1.159	mM	compou
Michaelis constant	R_GLNS	M_adp_c	0.4824	mM	compou
Michaelis constant	R_SUCOAS	M_adp_c	0.06562	mM	compou
Michaelis constant	R_PRAIS	M_adp_c	0.04827	mM	compou
Michaelis constant	R_PFK	M_adp_c	10.04	mM	compou
Michaelis constant	R_RBIO	M_adp_c	0.001912	mM	compou
Michaelis constant	R_ME1	M_mal__L_c	0.2636	mM	compou
Michaelis constant	R_MDH	M_mal__L_c	4.744	mM	compou
Michaelis constant	R_FUM	M_mal__L_c	0.385	mM	compou
Michaelis constant	R_MALS	M_mal__L_c	0.1089	mM	compou
Michaelis constant	R_ME2	M_mal__L_c	3.228	mM	compou
Michaelis constant	R_MALt2_2pp	M_mal__L_c	0.01095	mM	compou
Michaelis constant	R_FBA	M_g3p_c	0.08189	mM	compou
Michaelis constant	R_TALA	M_g3p_c	1.075	mM	compou
Michaelis constant	R_TKT1	M_g3p_c	1.773	mM	compou
Michaelis constant	R_TRPS3	M_g3p_c	0.01684	mM	compou
Michaelis constant	R_GAPD	M_g3p_c	0.5446	mM	compou
Michaelis constant	R_TKT2	M_g3p_c	1.841	mM	compou
Michaelis constant	R_TPI	M_g3p_c	0.6323	mM	compou
Michaelis constant	R_ALCD2x	M_etoh_c	0.004885	mM	compou
Michaelis constant	R_ETOHtrpp	M_etoh_c	0.004251	mM	compou
Michaelis constant	R_PAPSR	M_so3_c	2.218	mM	compou
Michaelis constant	R_SULR	M_so3_c	0.0001506	mM	compou
Michaelis constant	R_METS	M_met__L_c	0.04313	mM	compou
Michaelis constant	R_RBIO	M_met__L_c	0.0523	mM	compou
Michaelis constant	R_ADSL2r	M_aicar_c	0.03628	mM	compou
Michaelis constant	R_IG3PS	M_aicar_c	0.5203	mM	compou
Michaelis constant	R_AICART	M_aicar_c	0.01981	mM	compou
Michaelis constant	R_AIRC3	M_5aizc_c	0.0003188	mM	compou
Michaelis constant	R_PRASCSi	M_5aizc_c	0.9195	mM	compou
Michaelis constant	R_EX_ac_e	M_ac_e	0.04946	mM	compou
Michaelis constant	R_ACtex	M_ac_e	0.005378	mM	compou
Michaelis constant	R_ICL	M_glx_c	0.01657	mM	compou
Michaelis constant	R_MALS	M_glx_c	0.001516	mM	compou
Michaelis constant	R_ETOHtex	M_etoh_e	0.02338	mM	compou
Michaelis constant	R_EX_etoh_e	M_etoh_e	0.009847	mM	compou
Michaelis constant	R_GLCNtex	M_glcn_p	0.003927	mM	compou
Michaelis constant	R_GLCNt2rpp	M_glcn_p	0.02215	mM	compou
Michaelis constant	R_AIRC2	M_air_c	7.18e-05	mM	
Michaelis constant	R_PRAIS	M_air_c	0.04827	mM	
Michaelis constant	R_PGL	M_6pgc_c	0.2682	mM	compou
Michaelis constant	R_GND	M_6pgc_c	0.007542	mM	compou
Michaelis constant	R_GNK	M_6pgc_c	0.5779	mM	compou
Michaelis constant	R_GLYCL	M_nh4_c	0.01573	mM	compou
Michaelis constant	R_ASNS2	M_nh4_c	0.000357	mM	compou
Michaelis constant	R_GLUN	M_nh4_c	0.01292	mM	compou
Michaelis constant	R_CYSTL	M_nh4_c	0.212	mM	compou
Michaelis constant	R_NH4tpp	M_nh4_c	0.02611	mM	compou
Michaelis constant	R_GLUDy	M_nh4_c	0.004991	mM	compou
Michaelis constant	R_THRD_L	M_nh4_c	1334	mM	compou
Michaelis constant	R_GLNS	M_nh4_c	0.0002073	mM	compou
Michaelis constant	R_RBIO	M_nh4_c	0.0523	mM	compou
Michaelis constant	R_T2DECAI	M_tdec2eACP_c	0.01096	mM	compou
Michaelis constant	R_EAR100y	M_tdec2eACP_c	0.02199	mM	compou
Michaelis constant	R_EAR100x	M_tdec2eACP_c	0.01419	mM	compou
Michaelis constant	R_3HAD100	M_tdec2eACP_c	0.01413	mM	compou
Michaelis constant	R_EAR161x	M_hdeACP_c	0.004981	mM	
Michaelis constant	R_3OAS181	M_hdeACP_c	0.01971	mM	
Michaelis constant	R_ACPPAT161	M_hdeACP_c	0.01913	mM	
Michaelis constant	R_RBIO	M_hdeACP_c	0.0523	mM	
Michaelis constant	R_G5SD	M_pi_c	5.562	mM	compou
Michaelis constant	R_PPA	M_pi_c	18.1	mM	compou
Michaelis constant	R_FBP	M_pi_c	0.03662	mM	compou
Michaelis constant	R_PSCVT	M_pi_c	2.855	mM	compou
Michaelis constant	R_PTAr	M_pi_c	1.905	mM	compou
Michaelis constant	R_CHORS	M_pi_c	62.35	mM	compou
Michaelis constant	R_PPS	M_pi_c	10.44	mM	compou
Michaelis constant	R_ACCOAC	M_pi_c	0.02072	mM	compou
Michaelis constant	R_AGPR	M_pi_c	2.79	mM	compou
Michaelis constant	R_PPC	M_pi_c	0.9482	mM	compou
Michaelis constant	R_G3PT	M_pi_c	0.01677	mM	compou
Michaelis constant	R_SADT2	M_pi_c	0.003424	mM	compou
Michaelis constant	R_CTPS2	M_pi_c	0.1511	mM	compou
Michaelis constant	R_ADSS	M_pi_c	0.2732	mM	compou
Michaelis constant	R_ASPCT	M_pi_c	7.281	mM	compou
Michaelis constant	R_THRS	M_pi_c	0.9847	mM	compou
Michaelis constant	R_DDPA	M_pi_c	15.9	mM	compou
Michaelis constant	R_BPNT	M_pi_c	0.06773	mM	compou
Michaelis constant	R_ASAD	M_pi_c	5.83	mM	compou
Michaelis constant	R_OCBT	M_pi_c	127.1	mM	compou
Michaelis constant	R_PRAGSr	M_pi_c	0.6045	mM	compou
Michaelis constant	R_PRFGS	M_pi_c	0.03226	mM	compou
Michaelis constant	R_AIRC2	M_pi_c	1.393	mM	compou
Michaelis constant	R_GAPD	M_pi_c	13.41	mM	compou
Michaelis constant	R_CBPS	M_pi_c	0.9291	mM	compou
Michaelis constant	R_PSP_L	M_pi_c	0.06722	mM	compou
Michaelis constant	R_SULabcpp	M_pi_c	0.07786	mM	compou
Michaelis constant	R_ATPS4rpp	M_pi_c	3.546	mM	compou
Michaelis constant	R_PRASCSi	M_pi_c	12.99	mM	compou
Michaelis constant	R_RIBabcpp	M_pi_c	0.01185	mM	compou
Michaelis constant	R_GLNabcpp	M_pi_c	0.05902	mM	compou
