!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_CTPS2		7.903e+11	dimensionless	R00573	
equilibrium constant	R_NDPK7		0.5146	dimensionless	R02326	
equilibrium constant	R_TRPS3		0.5784	dimensionless	R02340	
equilibrium constant	R_ADK1		1.683	dimensionless	R00127	
equilibrium constant	R_NDPK2		1.078	dimensionless	R00156	
equilibrium constant	R_NDPK4		1.189	dimensionless	R02093	
equilibrium constant	R_ACODA		1653	dimensionless	R00669	
equilibrium constant	R_ADSS		984800	dimensionless	R01135	
equilibrium constant	R_ASNS2		25110000	dimensionless	R00483	
equilibrium constant	R_ASPCT		6876000	dimensionless	R01397	
equilibrium constant	R_MCOATA		6.847	dimensionless	R01626	
equilibrium constant	R_DAPE		0.7199	dimensionless	R02735	
equilibrium constant	R_DHDPRy		0.07902	dimensionless		
equilibrium constant	R_HSK		1.342e+09	dimensionless	R01771	
equilibrium constant	R_SDPTA		12.06	dimensionless	R04475	
equilibrium constant	R_THRS		3.132e+08	dimensionless	R01466	
equilibrium constant	R_HSST		12980	dimensionless	R01777	
equilibrium constant	R_PPNDH		7.664e+14	dimensionless	R01373	
equilibrium constant	R_DTMPK		2.095	dimensionless	R02094	
equilibrium constant	R_NDPK1		2.424	dimensionless	R00330	
equilibrium constant	R_TRDR		0.03516	dimensionless	R02016	
equilibrium constant	R_DDPA		4.209e+11	dimensionless	R01826	
equilibrium constant	R_MALS		8.106e+08	dimensionless	R00472	
equilibrium constant	R_NADTRHD		0.05197	dimensionless	R00112	
equilibrium constant	R_G3PD2		0.107	dimensionless	R00844	
equilibrium constant	R_GMPS2		1.029	dimensionless	R01231	
equilibrium constant	R_AACPS3		116300	dimensionless		
equilibrium constant	R_P5CR		0.2206	dimensionless	R01251	
equilibrium constant	R_G5SADs		268000	dimensionless	R03314	
equilibrium constant	R_AKGDH		13920	dimensionless	R08549	
equilibrium constant	R_ATPPRT		7.228e+10	dimensionless	R01071	
equilibrium constant	R_HISTD		3.069e+12	dimensionless	R01158	
equilibrium constant	R_DHDPS		6.673e+17	dimensionless		
equilibrium constant	R_IGPDH		24940	dimensionless	R03457	
equilibrium constant	R_PRPPS		18870	dimensionless		
equilibrium constant	R_PRATPP		2.158e+10	dimensionless	R04035	
equilibrium constant	R_GLUN		23850	dimensionless	R00256	
equilibrium constant	R_PRMICI		0.2163	dimensionless	R04640	
