!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
Michaelis constant	R_GAPD	M_h_c	0.1629	mM	R01061	C00080
Michaelis constant	R_G6PDH2r	M_h_c	0.3446	mM	R00835	C00080
Michaelis constant	R_CBPS	M_h_c	382.2	mM	R00575	C00080
Michaelis constant	R_IPPS	M_h_c	0.2586	mM	R01213	C00080
Michaelis constant	R_ADSK	M_h_c	0.09842	mM	R00509	C00080
Michaelis constant	R_SUCCt2_2pp	M_h_c	0.008696	mM		C00080
Michaelis constant	R_HSDy	M_h_c	0.4765	mM	R01775	C00080
Michaelis constant	R_SHSL1	M_h_c	10000	mM	R03260	C00080
Michaelis constant	R_SULabcpp	M_h_c	0.1511	mM		C00080
Michaelis constant	R_AKGt2rpp	M_h_c	0.01648	mM		C00080
Michaelis constant	R_XYLt2pp	M_h_c	0.003667	mM		C00080
Michaelis constant	R_PYRt2rpp	M_h_c	0.008017	mM		C00080
Michaelis constant	R_THD2pp	M_h_c	0.007334	mM		C00080
Michaelis constant	R_ATPS4rpp	M_h_c	0.0002738	mM		C00080
Michaelis constant	R_FUMt2_2pp	M_h_c	0.00772	mM		C00080
Michaelis constant	R_CYTBDpp	M_h_c	0.001598	mM		C00080
Michaelis constant	R_CYTBD2pp	M_h_c	8.872e-06	mM		C00080
Michaelis constant	R_ACt2rpp	M_h_c	0.01744	mM		C00080
Michaelis constant	R_METS	M_h_c	0.04782	mM	R00946	C00080
Michaelis constant	R_PRASCSi	M_h_c	14.49	mM	R04591	C00080
Michaelis constant	R_MTHFC	M_h_c	0.1477	mM	R01655	C00080
Michaelis constant	R_MALt2_2pp	M_h_c	0.013	mM		C00080
Michaelis constant	R_RIBabcpp	M_h_c	0.01678	mM		C00080
Michaelis constant	R_GLYCAt2rpp	M_h_c	0.005191	mM		C00080
Michaelis constant	R_GLNabcpp	M_h_c	0.07346	mM		C00080
Michaelis constant	R_GLUt2rpp	M_h_c	0.01609	mM		C00080
Michaelis constant	R_GNK	M_h_c	0.6645	mM	R01737	C00080
Michaelis constant	R_GLUDy	M_h_c	0.02242	mM	R00248	C00080
Michaelis constant	R_GLCNt2rpp	M_h_c	0.004542	mM		C00080
Michaelis constant	R_ATPM	M_h_c	0.3587	mM	R00086	C00080
Michaelis constant	R_DHFR	M_h_c	0.3641	mM	R00939	C00080
Michaelis constant	R_SHKK	M_h_c	1.509	mM	R02412	C00080
Michaelis constant	R_GLUSy	M_h_c	0.01022	mM	R00114	C00080
Michaelis constant	R_OMCDC	M_h_c	0.007873	mM	R01652	C00080
Michaelis constant	R_IG3PS	M_h_c	1.037	mM	R04558	C00080
Michaelis constant	R_MTHFR2	M_h_c	0.2072	mM	R07168	C00080
Michaelis constant	R_DUTPDP	M_h_c	0.4622	mM	R02100	C00080
Michaelis constant	R_NTP5	M_h_c	1.862	mM	R00569	C00080
Michaelis constant	R_FORt2pp	M_h_c	0.003872	mM		C00080
Michaelis constant	R_GLNS	M_h_c	0.4842	mM	R00253	C00080
Michaelis constant	R_ACGS	M_h_c	0.9535	mM	R00259	C00080
Michaelis constant	R_PRAIS	M_h_c	0.8829	mM		C00080
Michaelis constant	R_LDH_D	M_h_c	0.01485	mM	R00704	C00080
Michaelis constant	R_KAS15	M_h_c	0.009522	mM	R10707	C00080
Michaelis constant	R_3OAS161	M_h_c	0.01856	mM		C00080
Michaelis constant	R_EAR161x	M_h_c	0.02077	mM		C00080
Michaelis constant	R_PGCD	M_h_c	0.1711	mM	R01513	C00080
Michaelis constant	R_3OAS141	M_h_c	0.0186	mM		C00080
Michaelis constant	R_3OAR121	M_h_c	0.02597	mM		C00080
Michaelis constant	R_D_LACt2pp	M_h_c	0.005834	mM		C00080
Michaelis constant	R_PFK	M_h_c	10.44	mM		C00080
Michaelis constant	R_CYTBO3_4pp	M_h_c	0.001023	mM		C00080
Michaelis constant	R_EAR141x	M_h_c	0.02085	mM		C00080
Michaelis constant	R_EAR181x	M_h_c	0.0242	mM		C00080
Michaelis constant	R_3OAR120	M_h_c	0.01289	mM	R04964	C00080
Michaelis constant	R_EAR180x	M_h_c	0.01368	mM		C00080
Michaelis constant	R_SO4t2pp	M_h_c	0.003669	mM		C00080
Michaelis constant	R_EAR180y	M_h_c	0.02525	mM		C00080
Michaelis constant	R_ASNS1	M_h_c	4.632	mM	R00578	C00080
Michaelis constant	R_EAR80y	M_h_c	0.02373	mM		C00080
Michaelis constant	R_EAR120y	M_h_c	0.02216	mM		C00080
Michaelis constant	R_3OAR181	M_h_c	0.03054	mM		C00080
Michaelis constant	R_EAR140x	M_h_c	0.01593	mM		C00080
Michaelis constant	R_3OAS181	M_h_c	0.02013	mM		C00080
Michaelis constant	R_3OAS140	M_h_c	0.01252	mM		C00080
Michaelis constant	R_3OAR140	M_h_c	0.01331	mM	R04566	C00080
Michaelis constant	R_EAR160y	M_h_c	0.02315	mM		C00080
Michaelis constant	R_3OAR160	M_h_c	0.0145	mM	R04543	C00080
Michaelis constant	R_EAR100y	M_h_c	0.02195	mM		C00080
Michaelis constant	R_3OAR141	M_h_c	0.02594	mM		C00080
Michaelis constant	R_3OAR161	M_h_c	0.02588	mM		C00080
Michaelis constant	R_EAR121x	M_h_c	0.02088	mM		C00080
Michaelis constant	R_3OAS60	M_h_c	0.01178	mM		C00080
Michaelis constant	R_3OAS160	M_h_c	0.01197	mM		C00080
Michaelis constant	R_3OAR60	M_h_c	0.01233	mM	R04953	C00080
Michaelis constant	R_3OAR80	M_h_c	0.01215	mM	R04536	C00080
Michaelis constant	R_EAR100x	M_h_c	0.01447	mM		C00080
Michaelis constant	R_EAR120x	M_h_c	0.0146	mM		C00080
Michaelis constant	R_EAR160x	M_h_c	0.01578	mM		C00080
Michaelis constant	R_EAR140y	M_h_c	0.02199	mM		C00080
Michaelis constant	R_3OAS121	M_h_c	0.01861	mM		C00080
Michaelis constant	R_3OAS80	M_h_c	0.0116	mM		C00080
Michaelis constant	R_3OAS100	M_h_c	0.01166	mM		C00080
Michaelis constant	R_3OAS120	M_h_c	0.0113	mM		C00080
Michaelis constant	R_3OAR40	M_h_c	0.01708	mM		C00080
Michaelis constant	R_3OAR100	M_h_c	0.01225	mM	R04534	C00080
Michaelis constant	R_EAR40x	M_h_c	0.01655	mM		C00080
Michaelis constant	R_EAR60y	M_h_c	0.02385	mM		C00080
Michaelis constant	R_EAR60x	M_h_c	0.01264	mM		C00080
Michaelis constant	R_EAR80x	M_h_c	0.01258	mM		C00080
Michaelis constant	R_3OAR180	M_h_c	0.02115	mM		C00080
Michaelis constant	R_3OAS180	M_h_c	0.0168	mM		C00080
Michaelis constant	R_NADH16pp	M_h_c	1.829e-05	mM		C00080
Michaelis constant	R_FA160ACPHi	M_h_c	0.1079	mM		C00080
Michaelis constant	R_FA120ACPHi	M_h_c	0.08694	mM		C00080
Michaelis constant	R_FA80ACPHi	M_h_c	0.06214	mM		C00080
Michaelis constant	R_FA140ACPHi	M_h_c	0.09624	mM		C00080
Michaelis constant	R_FA100ACPHi	M_h_c	0.1189	mM		C00080
Michaelis constant	R_ACPPAT161	M_h_c	0.01927	mM		C00080
Michaelis constant	R_ACPPAT180	M_h_c	0.007444	mM		C00080
Michaelis constant	R_RNTR1c2	M_h_c	0.01041	mM		C00080
Michaelis constant	R_RNTR2c2	M_h_c	0.01422	mM		C00080
Michaelis constant	R_FLDR2	M_h_c	0.02297	mM		C00080
Michaelis constant	R_ACPPAT181	M_h_c	0.01951	mM		C00080
Michaelis constant	R_APH161	M_h_c	0.04865	mM		C00080
Michaelis constant	R_APH180	M_h_c	0.104	mM		C00080
Michaelis constant	R_APH181	M_h_c	0.04864	mM		C00080
Michaelis constant	R_PIt2rpp	M_h_c	0.008985	mM		C00080
Michaelis constant	R_RBIO	M_h_c	0.001989	mM		C00080
Michaelis constant	R_RBK	M_rib__D_c	0.06852	mM		C00121
Michaelis constant	R_RIBabcpp	M_rib__D_c	0.01678	mM		C00121
Michaelis constant	R_GTHOr	M_gthrd_c	0.02236	mM	R00115	C00051
Michaelis constant	R_GRXR	M_gthrd_c	0.01088	mM		C00051
Michaelis constant	R_KAS14	M_actACP_c	0.007211	mM	R04355	C05744
Michaelis constant	R_KAS15	M_actACP_c	0.0105	mM	R10707	C05744
Michaelis constant	R_3OAR40	M_actACP_c	0.01708	mM		C05744
Michaelis constant	R_APH161	M_hdcea_c	0.02206	mM		
Michaelis constant	R_PTAr	M_actp_c	0.9377	mM	R00230	C00227
Michaelis constant	R_ACKr	M_actp_c	0.001961	mM	R00315	C00227
Michaelis constant	R_PYRt2rpp	M_pyr_p	0.01247	mM		C00022
Michaelis constant	R_PYRtex	M_pyr_p	0.007722	mM		C00022
Michaelis constant	R_CYSTL	M_cyst__L_c	0.9871	mM	R01286	C02291
Michaelis constant	R_SHSL1	M_cyst__L_c	0.7625	mM	R03260	C02291
Michaelis constant	R_NDPK6	M_dutp_c	0.002919	mM	R02331	C00460
Michaelis constant	R_DUTPDP	M_dutp_c	0.0002164	mM	R02100	C00460
Michaelis constant	R_AACPS9	M_octa_c	0.007756	mM		C06423
Michaelis constant	R_FA80ACPHi	M_octa_c	0.06214	mM		C06423
Michaelis constant	R_H2Otex	M_h2o_p	0.02075	mM		C00001
Michaelis constant	R_H2Otpp	M_h2o_p	0.004809	mM		C00001
Michaelis constant	R_GLYK	M_glyc3p_c	0.1108	mM	R00847	C00093
Michaelis constant	R_G3PT	M_glyc3p_c	0.001402	mM	R00841	C00093
Michaelis constant	R_G3PD2	M_glyc3p_c	0.0317	mM	R00844	C00093
Michaelis constant	R_RBIO	M_glyc3p_c	0.05029	mM		C00093
Michaelis constant	R_ACHBS	M_2ahbut_c	0.2042	mM	R08648	C06006
Michaelis constant	R_KARA2	M_2ahbut_c	3.261e-05	mM		C06006
Michaelis constant	R_TRPS2	M_ser__L_c	0.0009133	mM	R00674	C00065
Michaelis constant	R_GHMT2r	M_ser__L_c	0.33	mM	R00945	C00065
Michaelis constant	R_SERAT	M_ser__L_c	0.008639	mM	R00586	C00065
Michaelis constant	R_PSP_L	M_ser__L_c	0.3617	mM	R00582	C00065
Michaelis constant	R_RBIO	M_ser__L_c	0.05029	mM		C00065
Michaelis constant	R_3HAD80	M_toct2eACP_c	0.01408	mM	R04537	C05751
Michaelis constant	R_EAR80y	M_toct2eACP_c	0.02373	mM		C05751
Michaelis constant	R_EAR80x	M_toct2eACP_c	0.01258	mM		C05751
Michaelis constant	R_OMPDC	M_ump_c	0.01551	mM	R00965	C00105
Michaelis constant	R_UMPK	M_ump_c	0.005941	mM	R00158	C00105
Michaelis constant	R_RBIO	M_ump_c	0.001989	mM		C00105
Michaelis constant	R_ACPPAT161	M_hdceap_c	0.00519	mM		
Michaelis constant	R_APH161	M_hdceap_c	0.004534	mM		
Michaelis constant	R_PGK	M_3pg_c	0.07032	mM	R01512	C00197
Michaelis constant	R_PGCD	M_3pg_c	11.4	mM	R01513	C00197
Michaelis constant	R_PGM	M_3pg_c	0.03076	mM	R01518	C00197
Michaelis constant	R_CTPS2	M_ctp_c	0.3097	mM	R00573	C00063
Michaelis constant	R_NTP5	M_ctp_c	5.369e-05	mM	R00569	C00063
Michaelis constant	R_RBIO	M_ctp_c	0.05029	mM		C00063
Michaelis constant	R_NDPK8	M_dadp_c	0.009249	mM	R01137	C00206
Michaelis constant	R_RNDR1	M_dadp_c	0.1741	mM	R02017	C00206
Michaelis constant	R_RNDR1b	M_dadp_c	0.01087	mM		C00206
Michaelis constant	R_XYLK	M_xu5p__D_c	10.93	mM	R01639	C00231
Michaelis constant	R_RPE	M_xu5p__D_c	0.04897	mM	R01529	C00231
Michaelis constant	R_TKT1	M_xu5p__D_c	0.04861	mM		C00231
Michaelis constant	R_TKT2	M_xu5p__D_c	0.02482	mM	R01830	C00231
Michaelis constant	R_DHDPS	M_aspsa_c	3.512e-05	mM		C00441
Michaelis constant	R_ASAD	M_aspsa_c	0.02662	mM	R02291	C00441
Michaelis constant	R_HSDy	M_aspsa_c	0.03467	mM	R01775	C00441
Michaelis constant	R_3HAD60	M_the2eACP_c	0.01507	mM	R04954	C05748
Michaelis constant	R_EAR60y	M_the2eACP_c	0.02385	mM		C05748
Michaelis constant	R_EAR60x	M_the2eACP_c	0.01264	mM		C05748
Michaelis constant	R_EAR161x	M_t3c9palmeACP_c	0.02077	mM		
Michaelis constant	R_3HAD161	M_t3c9palmeACP_c	0.0139	mM		
Michaelis constant	R_CS	M_accoa_c	0.02094	mM	R00351	C00024
Michaelis constant	R_ACALD	M_accoa_c	0.003832	mM	R00228	C00024
Michaelis constant	R_PFL	M_accoa_c	0.001086	mM	R00212	C00024
Michaelis constant	R_PTAr	M_accoa_c	0.00432	mM	R00230	C00024
Michaelis constant	R_ACCOAC	M_accoa_c	0.005677	mM	R00742	C00024
Michaelis constant	R_MALS	M_accoa_c	0.001416	mM	R00472	C00024
Michaelis constant	R_SERAT	M_accoa_c	0.223	mM	R00586	C00024
Michaelis constant	R_IPPS	M_accoa_c	0.0003868	mM	R01213	C00024
Michaelis constant	R_ACOATA	M_accoa_c	0.002286	mM	R01624	C00024
Michaelis constant	R_PDH	M_accoa_c	0.1431	mM	R00209	C00024
Michaelis constant	R_ACGS	M_accoa_c	0.0001049	mM	R00259	C00024
Michaelis constant	R_KAS15	M_accoa_c	0.002192	mM	R10707	C00024
Michaelis constant	R_RBIO	M_accoa_c	0.05029	mM		C00024
Michaelis constant	R_ARGSL	M_arg__L_c	1.366	mM	R01086	C00062
Michaelis constant	R_RBIO	M_arg__L_c	0.05029	mM		C00062
Michaelis constant	R_SDPDS	M_26dap_LL_c	0.1003	mM	R02734	C00666
Michaelis constant	R_DAPE	M_26dap_LL_c	0.01472	mM	R02735	C00666
Michaelis constant	R_ASPTA	M_asp__L_c	7.228	mM	R00355	C00049
Michaelis constant	R_ARGSS	M_asp__L_c	0.008717	mM	R01954	C00049
Michaelis constant	R_ADSS	M_asp__L_c	0.826	mM	R01135	C00049
Michaelis constant	R_ASNS2	M_asp__L_c	0.0003381	mM	R00483	C00049
Michaelis constant	R_ASPCT	M_asp__L_c	13.04	mM	R01397	C00049
Michaelis constant	R_ASPK	M_asp__L_c	1.374	mM	R00480	C00049
Michaelis constant	R_PRASCSi	M_asp__L_c	0.0006828	mM	R04591	C00049
Michaelis constant	R_ASNS1	M_asp__L_c	4.172	mM	R00578	C00049
Michaelis constant	R_RBIO	M_asp__L_c	0.05029	mM		C00049
Michaelis constant	R_AGPR	M_acg5sa_c	0.2562	mM	R03443	C01250
Michaelis constant	R_ACOTA	M_acg5sa_c	4.985	mM	R02283	C01250
Michaelis constant	R_3OAS80	M_hexACP_c	0.0116	mM		
Michaelis constant	R_EAR60y	M_hexACP_c	0.004194	mM		
Michaelis constant	R_EAR60x	M_hexACP_c	0.007912	mM		
Michaelis constant	R_SHK3Dr	M_skm_c	0.002853	mM	R02413	C00493
Michaelis constant	R_SHKK	M_skm_c	6.628e-05	mM	R02412	C00493
Michaelis constant	R_IMPC	M_imp_c	0.7833	mM	R01127	C00130
Michaelis constant	R_IMPD	M_imp_c	0.001209	mM	R01130	C00130
Michaelis constant	R_ADSS	M_imp_c	0.05663	mM	R01135	C00130
Michaelis constant	R_O2tpp	M_o2_c	4.142e-05	mM		C00007
Michaelis constant	R_CYTBDpp	M_o2_c	0.006323	mM		C00007
Michaelis constant	R_CYTBD2pp	M_o2_c	0.001726	mM		C00007
Michaelis constant	R_CYTBO3_4pp	M_o2_c	0.00752	mM		C00007
Michaelis constant	R_APH181	M_ocdcea_c	0.02206	mM		C00712
Michaelis constant	R_SUCCt2_2pp	M_h_p	0.0115	mM		C00080
Michaelis constant	R_AKGt2rpp	M_h_p	0.006067	mM		C00080
Michaelis constant	R_XYLt2pp	M_h_p	0.02727	mM		C00080
Michaelis constant	R_Htex	M_h_p	1.837	mM		C00080
Michaelis constant	R_PYRt2rpp	M_h_p	0.01247	mM		C00080
Michaelis constant	R_THD2pp	M_h_p	0.01364	mM		C00080
Michaelis constant	R_ATPS4rpp	M_h_p	1.212	mM		C00080
Michaelis constant	R_FUMt2_2pp	M_h_p	0.01295	mM		C00080
Michaelis constant	R_CYTBDpp	M_h_p	0.06257	mM		C00080
Michaelis constant	R_CYTBD2pp	M_h_p	11.27	mM		C00080
Michaelis constant	R_ACt2rpp	M_h_p	0.005735	mM		C00080
Michaelis constant	R_MALt2_2pp	M_h_p	0.007695	mM		C00080
Michaelis constant	R_GLYCAt2rpp	M_h_p	0.01926	mM		C00080
Michaelis constant	R_GLUt2rpp	M_h_p	0.006215	mM		C00080
Michaelis constant	R_GLCNt2rpp	M_h_p	0.02202	mM		C00080
Michaelis constant	R_FORt2pp	M_h_p	0.02583	mM		C00080
Michaelis constant	R_D_LACt2pp	M_h_p	0.01714	mM		C00080
Michaelis constant	R_CYTBO3_4pp	M_h_p	0.09777	mM		C00080
Michaelis constant	R_SO4t2pp	M_h_p	0.02725	mM		C00080
Michaelis constant	R_NADH16pp	M_h_p	1.131	mM		C00080
Michaelis constant	R_PIt2rpp	M_h_p	0.01113	mM		C00080
Michaelis constant	R_RBIO	M_h_p	0.05029	mM		C00080
Michaelis constant	R_SUCCt2_2pp	M_succ_p	0.01072	mM		C00042
Michaelis constant	R_SUCCtex	M_succ_p	0.04541	mM		C00042
Michaelis constant	R_SUCCt1pp	M_succ_p	0.002382	mM		C00042
Michaelis constant	R_PPNDH	M_phpyr_c	10.24	mM	R01373	C00166
Michaelis constant	R_PHETA1	M_phpyr_c	0.02152	mM	R00694	C00166
Michaelis constant	R_EX_fru_e	M_fru_e	0.02035	mM		C00095
Michaelis constant	R_FRUtex	M_fru_e	0.01207	mM		C00095
Michaelis constant	R_EX_pyr_e	M_pyr_e	0.01884	mM		C00022
Michaelis constant	R_PYRtex	M_pyr_e	0.01295	mM		C00022
Michaelis constant	R_METS	M_5mthf_c	0.002091	mM	R00946	C00440
Michaelis constant	R_MTHFR2	M_5mthf_c	0.01275	mM	R07168	C00440
Michaelis constant	R_ACALD	M_nad_c	0.007728	mM	R00228	C00003
Michaelis constant	R_ME1	M_nad_c	0.003381	mM	R00214	C00003
Michaelis constant	R_IMPD	M_nad_c	0.759	mM	R01130	C00003
Michaelis constant	R_IPMD	M_nad_c	0.07098	mM	R04426	C00003
Michaelis constant	R_ALCD2x	M_nad_c	0.004884	mM	R00754	C00003
Michaelis constant	R_MDH	M_nad_c	0.08636	mM	R00342	C00003
Michaelis constant	R_GLYCL	M_nad_c	0.007043	mM	R01221	C00003
Michaelis constant	R_NADTRHD	M_nad_c	0.01537	mM	R00112	C00003
Michaelis constant	R_AKGDH	M_nad_c	0.001883	mM	R08549	C00003
Michaelis constant	R_HISTD	M_nad_c	0.2226	mM	R01158	C00003
Michaelis constant	R_PPND	M_nad_c	0.02455	mM	R01728	C00003
Michaelis constant	R_GAPD	M_nad_c	0.005811	mM	R01061	C00003
Michaelis constant	R_THD2pp	M_nad_c	0.007334	mM		C00003
Michaelis constant	R_PDH	M_nad_c	0.0006988	mM	R00209	C00003
Michaelis constant	R_MTHFR2	M_nad_c	0.002197	mM	R07168	C00003
Michaelis constant	R_LDH_D	M_nad_c	0.006736	mM	R00704	C00003
Michaelis constant	R_EAR161x	M_nad_c	0.004814	mM		C00003
Michaelis constant	R_PGCD	M_nad_c	9.102e-05	mM	R01513	C00003
Michaelis constant	R_EAR141x	M_nad_c	0.004797	mM		C00003
Michaelis constant	R_EAR181x	M_nad_c	0.004132	mM		C00003
Michaelis constant	R_EAR180x	M_nad_c	0.007312	mM		C00003
Michaelis constant	R_EAR140x	M_nad_c	0.006277	mM		C00003
Michaelis constant	R_EAR121x	M_nad_c	0.004789	mM		C00003
Michaelis constant	R_EAR100x	M_nad_c	0.006913	mM		C00003
Michaelis constant	R_EAR120x	M_nad_c	0.006849	mM		C00003
Michaelis constant	R_EAR160x	M_nad_c	0.006336	mM		C00003
Michaelis constant	R_EAR40x	M_nad_c	0.006041	mM		C00003
Michaelis constant	R_EAR60x	M_nad_c	0.007912	mM		C00003
Michaelis constant	R_EAR80x	M_nad_c	0.00795	mM		C00003
Michaelis constant	R_NADH16pp	M_nad_c	0.04836	mM		C00003
Michaelis constant	R_3OAS161	M_tdeACP_c	0.01856	mM		
Michaelis constant	R_EAR141x	M_tdeACP_c	0.004797	mM		
Michaelis constant	R_3OAR181	M_3ocvac11eACP_c	0.03054	mM		
Michaelis constant	R_3OAS181	M_3ocvac11eACP_c	0.004967	mM		
Michaelis constant	R_3OAR180	M_3hoctaACP_c	0.004729	mM		C16220
Michaelis constant	R_3HAD180	M_3hoctaACP_c	0.007168	mM	R07764	C16220
Michaelis constant	R_AACPS6	M_ocdca_c	0.003897	mM		C01530
Michaelis constant	R_APH180	M_ocdca_c	0.03225	mM		C01530
Michaelis constant	R_NDPK5	M_adp_c	0.01172	mM	R01857	C00008
Michaelis constant	R_NDPK6	M_adp_c	0.002919	mM	R02331	C00008
Michaelis constant	R_NDPK8	M_adp_c	0.01081	mM	R01137	C00008
Michaelis constant	R_PPCK	M_adp_c	0.003669	mM	R00341	C00008
Michaelis constant	R_XYLK	M_adp_c	10.93	mM	R01639	C00008
Michaelis constant	R_RBK	M_adp_c	1.572	mM		C00008
Michaelis constant	R_GLYK	M_adp_c	0.1108	mM	R00847	C00008
Michaelis constant	R_PYK	M_adp_c	0.00997	mM	R00200	C00008
Michaelis constant	R_ACKr	M_adp_c	0.001961	mM	R00315	C00008
Michaelis constant	R_PGK	M_adp_c	0.001422	mM	R01512	C00008
Michaelis constant	R_RNDR1	M_adp_c	0.0005744	mM	R02017	C00008
Michaelis constant	R_ACCOAC	M_adp_c	0.01761	mM	R00742	C00008
Michaelis constant	R_UMPK	M_adp_c	0.01683	mM	R00158	C00008
Michaelis constant	R_CTPS2	M_adp_c	0.3097	mM	R00573	C00008
Michaelis constant	R_NDPK7	M_adp_c	0.008303	mM	R02326	C00008
Michaelis constant	R_ADK1	M_adp_c	0.01675	mM	R00127	C00008
Michaelis constant	R_NDPK2	M_adp_c	0.01485	mM	R00156	C00008
Michaelis constant	R_NDPK4	M_adp_c	0.01126	mM	R02093	C00008
Michaelis constant	R_HSK	M_adp_c	288.6	mM	R01771	C00008
Michaelis constant	R_DTMPK	M_adp_c	0.01662	mM	R02094	C00008
Michaelis constant	R_NDPK1	M_adp_c	0.02714	mM	R00330	C00008
Michaelis constant	R_ASPK	M_adp_c	0.07908	mM	R00480	C00008
Michaelis constant	R_GLYCK2	M_adp_c	0.09861	mM	R08572	C00008
Michaelis constant	R_PRAGSr	M_adp_c	0.8649	mM	R04144	C00008
Michaelis constant	R_PRFGS	M_adp_c	0.04911	mM		C00008
Michaelis constant	R_AIRC2	M_adp_c	1.446	mM		C00008
Michaelis constant	R_CBPS	M_adp_c	0.06864	mM	R00575	C00008
Michaelis constant	R_GLU5K	M_adp_c	0.003724	mM	R00239	C00008
Michaelis constant	R_ADSK	M_adp_c	0.09842	mM	R00509	C00008
Michaelis constant	R_SULabcpp	M_adp_c	0.1511	mM		C00008
Michaelis constant	R_ATPS4rpp	M_adp_c	0.004873	mM		C00008
Michaelis constant	R_GK1	M_adp_c	0.0186	mM	R00332	C00008
Michaelis constant	R_PRASCSi	M_adp_c	14.49	mM	R04591	C00008
Michaelis constant	R_RNDR1b	M_adp_c	0.0092	mM		C00008
Michaelis constant	R_RIBabcpp	M_adp_c	0.01678	mM		C00008
Michaelis constant	R_GLNabcpp	M_adp_c	0.07346	mM		C00008
Michaelis constant	R_ACGK	M_adp_c	0.05325	mM	R02649	C00008
Michaelis constant	R_GNK	M_adp_c	0.6645	mM	R01737	C00008
Michaelis constant	R_ATPM	M_adp_c	0.3587	mM	R00086	C00008
Michaelis constant	R_SHKK	M_adp_c	1.509	mM	R02412	C00008
Michaelis constant	R_GLNS	M_adp_c	0.4842	mM	R00253	C00008
Michaelis constant	R_SUCOAS	M_adp_c	0.07267	mM	R00405	C00008
Michaelis constant	R_PRAIS	M_adp_c	0.09396	mM		C00008
Michaelis constant	R_PFK	M_adp_c	10.44	mM		C00008
Michaelis constant	R_RBIO	M_adp_c	0.001989	mM		C00008
Michaelis constant	R_ME1	M_mal__L_c	0.2606	mM	R00214	C00149
Michaelis constant	R_MDH	M_mal__L_c	4.743	mM	R00342	C00149
Michaelis constant	R_FUM	M_mal__L_c	0.4458	mM	R01082	C00149
Michaelis constant	R_MALS	M_mal__L_c	0.4522	mM	R00472	C00149
Michaelis constant	R_ME2	M_mal__L_c	3.226	mM	R00216	C00149
Michaelis constant	R_MALt2_2pp	M_mal__L_c	0.0114	mM		C00149
Michaelis constant	R_FBA	M_g3p_c	0.084	mM	R01068	C00118
Michaelis constant	R_TALA	M_g3p_c	1.096	mM	R01827	C00118
Michaelis constant	R_TKT1	M_g3p_c	1.776	mM		C00118
Michaelis constant	R_TRPS3	M_g3p_c	0.0166	mM	R02340	C00118
Michaelis constant	R_GAPD	M_g3p_c	0.5431	mM	R01061	C00118
Michaelis constant	R_TKT2	M_g3p_c	1.849	mM	R01830	C00118
Michaelis constant	R_TPI	M_g3p_c	0.6327	mM	R01015	C00118
Michaelis constant	R_ALCD2x	M_etoh_c	0.004884	mM	R00754	C00469
Michaelis constant	R_ETOHtrpp	M_etoh_c	0.003819	mM		C00469
Michaelis constant	R_PAPSR	M_so3_c	2.25	mM	R02021	C00094
Michaelis constant	R_SULR	M_so3_c	0.0001615	mM	R00858	C00094
Michaelis constant	R_METS	M_met__L_c	0.04782	mM	R00946	C00073
Michaelis constant	R_RBIO	M_met__L_c	0.05029	mM		C00073
Michaelis constant	R_ADSL2r	M_aicar_c	0.03585	mM	R04559	C04677
Michaelis constant	R_IG3PS	M_aicar_c	1.037	mM	R04558	C04677
Michaelis constant	R_AICART	M_aicar_c	0.01936	mM	R04560	C04677
Michaelis constant	R_AIRC3	M_5aizc_c	0.0003029	mM	R07405	C04751
Michaelis constant	R_PRASCSi	M_5aizc_c	0.9185	mM	R04591	C04751
Michaelis constant	R_EX_ac_e	M_ac_e	0.05038	mM		C00033
Michaelis constant	R_ACtex	M_ac_e	0.00519	mM		C00033
Michaelis constant	R_ICL	M_glx_c	0.01734	mM	R00479	C00048
Michaelis constant	R_MALS	M_glx_c	0.00128	mM	R00472	C00048
Michaelis constant	R_ETOHtex	M_etoh_e	0.02601	mM		C00469
Michaelis constant	R_EX_etoh_e	M_etoh_e	0.008758	mM		C00469
Michaelis constant	R_GLCNtex	M_glcn_p	0.003956	mM		C00257
Michaelis constant	R_GLCNt2rpp	M_glcn_p	0.02202	mM		C00257
Michaelis constant	R_AIRC2	M_air_c	6.916e-05	mM		
Michaelis constant	R_PRAIS	M_air_c	0.09396	mM		
Michaelis constant	R_PGL	M_6pgc_c	1.116	mM	R02035	C00345
Michaelis constant	R_GND	M_6pgc_c	0.007482	mM	R01528	C00345
Michaelis constant	R_GNK	M_6pgc_c	0.6645	mM	R01737	C00345
Michaelis constant	R_GLYCL	M_nh4_c	0.0142	mM	R01221	C01342
Michaelis constant	R_ASNS2	M_nh4_c	0.0003381	mM	R00483	C01342
Michaelis constant	R_GLUN	M_nh4_c	0.05823	mM	R00256	C01342
Michaelis constant	R_CYSTL	M_nh4_c	0.9677	mM	R01286	C01342
Michaelis constant	R_NH4tpp	M_nh4_c	0.02748	mM		C01342
Michaelis constant	R_GLUDy	M_nh4_c	0.02242	mM	R00248	C01342
Michaelis constant	R_THRD_L	M_nh4_c	1173	mM	R00996	C01342
Michaelis constant	R_GLNS	M_nh4_c	0.0002065	mM	R00253	C01342
Michaelis constant	R_RBIO	M_nh4_c	0.05029	mM		C01342
