!!SBtab TableID='ParameterEq' TableType='Quantity' TableName='ParameterEq' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
standard Gibbs energy of reaction		R_SADT2	kJ/mol	19.54	1.79		
standard Gibbs energy of reaction		R_GHMT2r	kJ/mol	-10.11	2.51		R00945
standard Gibbs energy of reaction		R_DHORD2	kJ/mol	-125.15	6.33		
standard Gibbs energy of reaction		R_SDPDS	kJ/mol	8.02	3.74		R02734
standard Gibbs energy of reaction		R_UMPK	kJ/mol	-0.59	3.19		R00158
standard Gibbs energy of reaction		R_CTPS2	kJ/mol	-20.96	2.63		R00573
standard Gibbs energy of reaction		R_NDPK7	kJ/mol	4.06	2.41		R02326
standard Gibbs energy of reaction		R_TRPS3	kJ/mol	19.18	2.93		R02340
standard Gibbs energy of reaction		R_ADK1	kJ/mol	0.33	0.16		R00127
standard Gibbs energy of reaction		R_NDPK2	kJ/mol	-0.42	1.26		R00156
standard Gibbs energy of reaction		R_NDPK4	kJ/mol	0.11	2.62		R02093
standard Gibbs energy of reaction		R_ACODA	kJ/mol	-7.14	3.5		R00669
standard Gibbs energy of reaction		R_ADSS	kJ/mol	-0.57	2.13		R01135
standard Gibbs energy of reaction		R_ASNS2	kJ/mol	-25.67	3.56		R00483
standard Gibbs energy of reaction		R_ASPCT	kJ/mol	-22.47	2.93		R01397
standard Gibbs energy of reaction		R_DAPE	kJ/mol	-1.65	2.93		R02735
standard Gibbs energy of reaction		R_DHDPRy	kJ/mol	-21.1	3.94		
standard Gibbs energy of reaction		R_HSK	kJ/mol	-39.41	4.49		R01771
standard Gibbs energy of reaction		R_SDPTA	kJ/mol	-0.92	2.93		R04475
standard Gibbs energy of reaction		R_THRS	kJ/mol	-29.37	2.81		R01466
standard Gibbs energy of reaction		R_HSST	kJ/mol	-29.94	5.45		R01777
standard Gibbs energy of reaction		R_PPNDH	kJ/mol	-64.73	11.32		R01373
standard Gibbs energy of reaction		R_DTMPK	kJ/mol	-1.66	2.93		R02094
standard Gibbs energy of reaction		R_NDPK1	kJ/mol	-2.67	1.33		R00330
standard Gibbs energy of reaction		R_TRDR	kJ/mol	-7.74	1.47		R02016
standard Gibbs energy of reaction		R_DDPA	kJ/mol	-74.35	2.35		R01826
standard Gibbs energy of reaction		R_MALS	kJ/mol	-38.65	2.08		R00472
standard Gibbs energy of reaction		R_NADTRHD	kJ/mol	-0.0	0.34		R00112
standard Gibbs energy of reaction		R_G3PD2	kJ/mol	22.63	0.81		R00844
standard Gibbs energy of reaction		R_GMPS2	kJ/mol	-332.5	67656.96		R01231
standard Gibbs energy of reaction		R_P5CR	kJ/mol	-15.21	6.03		R01251
standard Gibbs energy of reaction		R_G5SADs	kJ/mol	-36.7	5.0		R03314
