!!SBtab TableID='ParameterKcat' TableType='Quantity' TableName='ParameterKcat' SBtabVersion='1.0'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
product catalytic rate constant		R_ADSL2r	1/s	10.2418654294629	NaN		R04559
substrate catalytic rate constant		R_ADSL2r	1/s	3.19339342452988	NaN		R04559
product catalytic rate constant		R_TKT1	1/s	66.2379265801991	NaN		
substrate catalytic rate constant		R_TKT1	1/s	6.07989957898194	NaN		
product catalytic rate constant		R_RNDR1	1/s	0.923363998995599	NaN		R02017
product catalytic rate constant		R_ALCD2x	1/s	2.79577791442476	NaN		R00754
substrate catalytic rate constant		R_ALCD2x	1/s	3.61105120912694	NaN		R00754
product catalytic rate constant		R_RNDR3	1/s	1.48247793905371	NaN		R02024
product catalytic rate constant		R_RNDR4	1/s	0.0094097112465078	NaN		R02018
product catalytic rate constant		R_TMDS	1/s	4.6398850905372	NaN		R02101
product catalytic rate constant		R_DHAD1	1/s	38.4179472067832	NaN		R04441
product catalytic rate constant		R_IPPMIa	1/s	3.33618686018532	NaN		R04001
substrate catalytic rate constant		R_IPPMIa	1/s	8.23008259668299	NaN		R04001
product catalytic rate constant		R_MDH	1/s	95.5484573348072	NaN		R00342
substrate catalytic rate constant		R_MDH	1/s	4.95038768907278	NaN		R00342
product catalytic rate constant		R_FUM	1/s	92.3349582664103	NaN		R01082
substrate catalytic rate constant		R_FUM	1/s	4.47600024219245	NaN		R01082
product catalytic rate constant		R_KARA1	1/s	6.41473324432736	NaN		R04439
substrate catalytic rate constant		R_KARA1	1/s	3.78736509301032	NaN		R04439
product catalytic rate constant		R_KARA2	1/s	1.25856158095846	NaN		
substrate catalytic rate constant		R_KARA2	1/s	2.60786941209761	NaN		
product catalytic rate constant		R_ACCOAC	1/s	3.95537952771034	NaN		R00742
product catalytic rate constant		R_KAS14	1/s	2.63598512051591	NaN		R04355
product catalytic rate constant		R_ARGSS	1/s	1.75443596723675	NaN		R01954
product catalytic rate constant		R_AGPR	1/s	3.58285755068993	NaN		R03443
substrate catalytic rate constant		R_AGPR	1/s	12.4035235393377	NaN		R03443
product catalytic rate constant		R_ICL	1/s	4.84920199788896	NaN		R00479
product catalytic rate constant		R_GLYCL	1/s	8.97003071010088	NaN		R01221
product catalytic rate constant		R_XYLI1	1/s	3.27099976956117	NaN		R01432
substrate catalytic rate constant		R_XYLI1	1/s	3.27099976956117	NaN		R01432
product catalytic rate constant		R_PPC	1/s	61.3139604630342	NaN		R00345
product catalytic rate constant		R_G3PT	1/s	6.87960846149541	NaN		R00841
product catalytic rate constant		R_SADT2	1/s	4.71147363729629	NaN		
product catalytic rate constant		R_AACPS1	1/s	0.473364780846464	NaN		
product catalytic rate constant		R_GHMT2r	1/s	4.43933684472924	NaN		R00945
substrate catalytic rate constant		R_GHMT2r	1/s	4.71663882239812	NaN		R00945
product catalytic rate constant		R_DHORD2	1/s	38.5306805462644	NaN		
product catalytic rate constant		R_SDPDS	1/s	102.228594566651	NaN		R02734
product catalytic rate constant		R_UMPK	1/s	16.583270877796	NaN		R00158
substrate catalytic rate constant		R_UMPK	1/s	4.60132075952737	NaN		R00158
product catalytic rate constant		R_CTPS2	1/s	4.25878177372141	NaN		R00573
product catalytic rate constant		R_NDPK7	1/s	4.98181882630153	NaN		R02326
substrate catalytic rate constant		R_NDPK7	1/s	4.99780049239237	NaN		R02326
product catalytic rate constant		R_TRPS3	1/s	4.11282222064388	NaN		R02340
product catalytic rate constant		R_ADK1	1/s	35.460023618225	NaN		R00127
substrate catalytic rate constant		R_ADK1	1/s	4.20068518837763	NaN		R00127
product catalytic rate constant		R_NDPK2	1/s	19.1075559853829	NaN		R00156
substrate catalytic rate constant		R_NDPK2	1/s	6.49011258781044	NaN		R00156
product catalytic rate constant		R_NDPK4	1/s	6.29197607194518	NaN		R02093
substrate catalytic rate constant		R_NDPK4	1/s	4.99780049239237	NaN		R02093
product catalytic rate constant		R_ACODA	1/s	10.9791125730085	NaN		R00669
product catalytic rate constant		R_ADSS	1/s	1.84018956986626	NaN		R01135
